TableId,TableName,ColumnName,ColumnType,IsMetric,IsCurrency,IsCommon,IsCommonMetric,IsCommonField
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,filename,String,FALSE,FALSE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,brand1,String,FALSE,TRUE,TRUE,FALSE,TRUE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,brand2,String,FALSE,TRUE,TRUE,FALSE,TRUE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,brand3,String,FALSE,TRUE,TRUE,FALSE,TRUE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,budgetyear,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaign,String,FALSE,TRUE,TRUE,FALSE,TRUE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaignend,Date,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaignflighting,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaignname,String,FALSE,TRUE,TRUE,FALSE,TRUE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaignobjective,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaignperiod,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaignscope,String,FALSE,TRUE,TRUE,FALSE,TRUE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,campaignstart,Date,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,cid,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,client_name,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,clientid,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,clientyear,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,country,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,data_state,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,filename,String,FALSE,FALSE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,groupingtype,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,local_currency_name,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,mediaauthstring,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,omnicampaign,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,productid,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,region,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,scenario_name,String,FALSE,TRUE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,source,String,FALSE,FALSE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,sysactive,String,FALSE,FALSE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,system_campaignid,String,FALSE,FALSE,FALSE,FALSE,FALSE
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,tempid,String,FALSE,TRUE,FALSE,FALSE,FALSE
